品名,單位,重量,熱量
100% 純花生油,1大匙,,44.2
100%米油,1小匙,,44.2
7-11 沙茶燒肉燴飯,,420克,579.6
7-11 和風海藻沙拉,,197克,63
7-11 京都稻荷豆皮飯糰,,128克,458.4
7-11 紅燒牛肉飯,,415.6克,477.9
7-11 烤雞腿油飯,,346.8克,1113.2
7-11 麻婆豆腐蓋飯,,473.2克,544.1
7-11 義式香草烤雞,,94.2克,201.5
7-11 新國民便當,,358克,680.1
7-11 關東煮-杏鮑菇,,52克,21.8
7-11 關東煮-香菇,,37克,14.8
7-11 關東煮-貢丸,,35克,80.8
7-11 關東煮-海龍丸,,44.6克,62.4
7-11 關東煮-高麗菜捲,,65.8克,29.6
7-11 關東煮-黑輪,,55.5克,96.6
7-11 關東煮-豬血糕,,96.8克,194.5
7-11 關東煮-雞蛋,,55克,76.4
7-11 關東煮-蟹棒,,45克,51.8
7-Eleven長蔥豆腐味噌湯,,23.4克,45
7-Eleven海帶芽味噌杯湯,,25克,48
7-ELEVEn零脂蘆薈優格,,140克,91
7-Eleven酸辣湯,,20克,28
7-SELECT奶油培根燉飯,,200克,379.6
7-SELECT素蔬水餃,,162克,320.6
7-SELECT海鮮巧達濃湯,,21克,77.6
7-SELECT海鮮湯,,5.5克,13
7-SELECT素鮮蔬水餃,,201克,281.4
7-SELECT鍋貼,,166克,346.9
7-SELECT麵包丁馬鈴薯濃湯,,25.5克,98.3
711金剛涼麵,,354.5克,564.2
711雅方特級紅燒羊肉爐,,410克,210.6
77大波露巧克力,,45克,266
77大波露巧克力,,45克,238
77巧菲斯,,13克,70
77乳加巧克力,,22克,109
77歐維氏巧克力,,45克,230
7SELECT招牌鍋貼,,144克,355.4
HOUSE佛蒙特咖哩飯,,148克,208.7
?仔魚煎蛋,,59.5克,90.5
豬肉茴香餡餃子,,1533克,4710
AD鈣奶,,100克,55
AE強化蛋,1粒,,73.7
ANDES 巧克力,,170克,909
C多果汁,,459.9克,280.5
DHA牛乳,1杯,,141.6
DHA火腿,1份,,68
DHA豆奶,1杯,,103.2
DHA飲料,1缶,,110.4
DHA智慧蛋,1粒,,71.5
DHA智慧蛋,1粒,,73.2
DHA智慧蛋,1粒,,65.4
DHA葵花油,1小匙,,44.2
Dr. Milk低脂牛奶,,250克,117.5
Extra 無糖口香糖,,13克,40
HOUSE佛蒙特咖哩飯,,460克,584.7
M & M 巧克力,,50克,240
M & M 花生巧克力,,50克,270
M&M牛奶巧克力,1包,,101
oligo鮮乳,1杯,,165.6
OREO 奧利奧巧克力三明治餅乾,,150克,750
Poky 百琪巧克力棒,,82克,411
Poky 百琪草莓棒,,82克,400
QQ虱目魚丸,1份,,87.5
QQ貢丸,1份,,122.5
QQ軟糖,1包,,102
QQ蝦丸,1盤,,78.6
Smoothie水蜜桃光合舒果普,,330克,165
VC餅乾,,100克,572
VC橘汁,,100克,95
XO醬拌蝦仁,,60.2克,60.8
XO醬香辣炒麵,,448克,869.1
Ｅ多鮮乳[味全],1杯,,96
一口煎角,,111.3克,341.7
一日野菜-七種類海藻,,158克,58.5
一日野菜-陽光番茄,,180克,88.2
一見鐘情,,290克,904.8
一窩羊,,100克,14
七七乳加巧克力,1條,,106.5
九九魚,,100克,206
十二鮮蔬沙拉,,154克,203
刀切饅頭,,100克,220
刀豆,,100克,36
八角[大料，大茴香],,100克,195
八角魚,,100克,135
人乳,,100克,65
九制西梅,,100克,228
七味串燒,,395克,221.2
九制梅肉,,100克,257
九制應子,,100克,157
丁香魚湯,,10克,62
丁香蘿蔔,,100克,37
丁珠魚,,100克,121
刀魚,,100克,127
力魚,,100克,159
人參飲料,1缶,,134.4
人參雞肝,,40克,14.1
二葉萩,,100克,63
九製西梅,,100克,228
九製梅肉,,100克,257
九製應子,,100克,157
十蔬沙拉壽司卷,,157.8克,227.2
人蔘果,1個,,58.1
九層塔方餃,,136克,352.2
九層塔炒溪蝦,,50克,81.6
九層塔煎蛋,,64.3克,83.7
二鍋頭,,100克,338
二鍋頭,,100克,351
八寶冬粉,,150克,141
八寶菜,,100克,72
八寶粥,1個,,281.2
八寶粥,,100克,46
八寶粥,,100克,64
八寶粥,,100克,81
八寶粥,,100克,45
八寶粥,,100克,69
八寶粥,,100克,76
川七,1碟,,12
三丁炒蛋,,99克,129.5
士力架巧克力,,58克,280
三刀蜜,,100克,383
土三七,,100克,45
土三七[景天三七],,100克,45
小三角油豆腐,1個,,75.9
大口烤香腸飯糰,,118克,335.2
大口逆鉤,,1兩,36
大山楂,,100克,95
小方豆干,1塊,,64
小天狗剌螺,1份,,29.6
小火鍋,,215克,129.6
口水雞,,250克,499
小水蘿蔔,,100克,19
小水蘿蔔[算盤子，紅皮蘿蔔],,100克,19
小玉,1片,,62.4
大瓜木耳雞肉片,,123克,64.1
小瓜肉丁,,97克,63.3
小巧香腸,1個,,146.4
大目魚,,100克,106
小白菜[青菜],,100克,10
小白菜炒肉絲,,120克,72.5
小瓜蝦仁,,84克,55.2
大目鮪,,1兩,36
山甘藷,,150克,193.5
三合一奶茶,1缶,,448
三合一咖啡,1杯,,86.6
三合一麥片,,100克,128
三色水果沙拉,,220克,231
小西瓜,,100克,29
小西瓜[地雷瓜],,100克,29
三色玉米,,60克,47.1
山羊肉,,1兩,43
山羊肉,,100克,293
山羊肉,,100克,272
三色冰角果汁,,269克,150.6
小西胡瓜,,100克,22
川式麻辣白菜牛,,346.3克,128.1
小米粥,,100克,46
小米菠菜,,125.2克,111.5
大肉腸,,100克,273
川式滷牛腱,,33.3克,41
三色蒸蛋,,183克,265.6
三色蝦仁,,40克,37.7
三色雞鬆丼,,368克,451.9
小羊羹,1個,,57.4
小米麵,,100克,356
土豆,,100克,76
小豆,,100克,309
干貝丸,,42克,144.5
山豆子,,100克,117
干貝玉米湯,,105克,149.1
大豆角,,100克,15
大豆沙拉油,,100克,900
大豆卵磷脂,1缶,,53.1
大豆油,,14克,120
川貝金針,,110克,172.4
大車前,,100克,43
大豆蛋白,,100克,321
干貝酥,1個,,58
小豆粥,,100克,61
土豆燉牛肉,,719克,1345
三角鮪魚飯糰,,345克,597.7
干貝鮮筍雞湯,,294.1克,78.3
三角鬆餅25克,,49.8克,304.3
三杯羊肉,,141.7克,280.6
三明治,,200克,415
三明治,,100克,244
三明治,,100克,247
三明治,,100克,276
三明治,,100克,284
三明治,,100克,234
三明治火腿,,100克,136
三明治冰激淋,,100克,169
三杯紅蘿蔔,,427.5克,135.9
小杯拿鐵,,160克,93
小芥菜,,100克,24
大拌菜,,161克,174
小泥腸,,100克,295
小炒雞胗,,44克,78.1
三杯雞飯糰,,50克,154.5
三杯麵腸,,40克,129.6
山韭,,100克,35
子姜,,100克,19
干炸小丸子,,234克,947
山苦瓜炒鹹蛋,,160克,179.8
大紅菇,,100克,200
小紅腸,,100克,280
小紅辣椒,,100克,197
大玻璃草葉,,100克,43
大玻璃草葉[大車前],,100克,43
口香糖,1個,,21.2
大料,,100克,195
上海大麵炒,,464克,598.6
大骨汁,1個,,49
上海青,,100克,10
上海炒粗麵,,435.1克,583
小茴香籽,,100克,251
山核桃,,100克,596
小核桃,,100克,596
山核桃,,100克,601
山核桃,,100克,618
山核桃,,100克,596
小根蒜,,100克,122
三索線蛇,,100克,76
上校雞塊,,100克,261
口條,,100克,184
大排,1塊,,74.9
小排,,1兩,87.2
大麥[元麥],,100克,307
千張[百頁],,100克,260
小魚川七,,126克,145.3
大眾牛舌餅,,30克,120.6
大眾牛肉餡餅,,50克,111.5
大眾太陽餅,,45克,207
大理石起司蛋糕,,111.1克,299.2
三彩豆干,,350克,420
大麻油,,100克,899
小旋花,,100克,54
小旋花[狗兒蔓],,100克,54
大眼金梭魚,,1兩,
小麥胚粉,,100克,392
大麻哈魚,,100克,139
大麻哈魚籽醬,,100克,252
大麥茶,,100克,305
小麥酒,,100克,284
小麥酒,,100克,297
小麥粉,,100克,349
小麥粉,,100克,350
小麥粉,,100克,344
大麥茶水,,100克,1
小麥草牛蒡汁,,245克,225.4
小麥草汁,1缶,,35
大眾茶碗蒸,,140克,74.2
大眾蛋黃酥,1個,,230.5
小魚乾蔬菜粥,,300克,472.5
大巢菜,,100克,52
大巢菜[野苕子，野豌豆],,100克,52
土瓶蒸,,180克,169.2
大雪糕,,100克,74
小麥麵粉,,100克,366
小麥麵粉,,100克,361
小麥麵粉,,100克,354
大眾蘿蔔酥,,55克,241.4
干絲,1盤,,59.2
小棗,,100克,266
三棘天狗鯛,,1兩,
小黃瓜卷,,78克,239.5
小黃瓜拌牛肚,,100克,77.7
大黃瓜炒玉米筍,,85克,60.8
小黃瓜炒羊肉,,130.5克,146.3
小黃瓜炒豆乾,,95克,115.7
小黃瓜炒蛋,,110克,129.8
小黃瓜炒甜不辣,,72.5克,86.9
小黃瓜果菜汁,,395克,193.6
小黃瓜炒筊白筍,,155克,72.3
大黃瓜湯,,50克,5
小黃瓜鳳梨汁,,360克,108
大黃瓜燴魚丸,,82.5克,93.3
大黃米,,100克,349
大黃米[黍子],,100克,349
干絲拌粉絲,,69.3克,125.2
上湯娃娃菜,,967克,1335
三湖紅橘,,100克,41
小湯圓甜湯,,40克,141.3
上湯餃,,695克,320.5
口酥餅1個,,10.2克,50.1
大黑頭細花草,,100克,14
上腦,,100克,193
山楂果丹皮,,100克,321
山楂果肉飲料,,100克,55
小葉芥菜,,100克,24
山裡紅,,100克,95
山葵粉,1份,,38.4
山楂脯,,100克,255
山楂球,,100克,369
山楂條,,100克,300
山楊梅,,100克,28
大腸蚵仔麵線,,428.3克,287
山楂晶,,100克,386
小葉橘,,100克,38
大腸頭麵線,,439克,289.7
山葵醬章魚,,75克,79.5
亡椰蘆薈爽,,365.8克,325.6
山蒜,,100克,122
大蒜[蒜頭],,100克,126
大餅包小餅,1個,,373
川辣拌麵麻醬,,120克,715.2
土魠魚米粉羹,,583.8克,723.9
大蒜清炒綠花椰,,103.6克,42.5
土魠魚羹,,580克,255.2
小蜜環菌,,100克,271
大蝦,,100克,90
小蔥,,100克,24
千層泡菜燴雞,,101.5克,95.8
千層時蔬,,140克,137.2
三層煙肉,1個,,202
叉燒什錦炒飯,,273克,480.4
小餐包,,50克,185.5
叉燒包,,130克,445.9
叉燒包,1個,,262
大頭仔魚,,100克,121
川燙白蘿蔔,,80克,12
大頭狗母魚,,100克,100
口頭魚,,100克,134
叉燒蛋包飯,,132.5克,82.2
大頭蝦,1個,,27.9
川燙豬血糕,,45克,80.7
大薯,,100克,56
小薊,,100克,38
大薯[參薯],,100克,105
三鮮豆皮,,100克,237
三鮮魚丸油麵筋,,346克,989
大薊葉,,100克,35
大薊葉[飛廉葉],,100克,35
三鮮燴飯,,353克,420.3
大醬,,100克,131
三糧小麥,,100克,330
土雞皮蛋,1粒,,67.1
山藥[薯蕷，大薯],,100克,56
山藥：白皮削,1個,,82.5
山藥木瓜汁,,224.9克,161.9
山藥牛蒡蔬果汁,,625克,468.7
山藥奶昔,,152克,136.8
山藥炒木耳,,257克,208
山藥粥,,226克,259.9
大臘腸,,100克,267
山藥燒小排,,119克,228.5
山藥餛飩,,130克,139.1
土犢鰆,1兩,,61.6
山藥蘋果牛奶,,335克,241.2
口蘑,,100克,242
山蘇炒丁香,,118克,122
三寶便當,,400克,528.8
小籠包,,190.3克,283.6
小籠包,1個,,336
不二家巧克力,,26克,142
牛大腸,,100克,66
方太郎-黑胡椒豬排,,108克,283
心心相映,,216.8克,388
戈牙魚,,100克,124
丹丹漢堡 香酥米糕,,121.4克,370.4
丹丹漢堡 香菇雞肉羹,,399.9克,259.9
丹丹漢堡 勁辣雞腿堡,,193.5克,493.4
丹丹漢堡 烤肉蛋堡,,145.6克,321.7
丹丹漢堡 烤雞腿堡,,145克,320.4
丹丹漢堡 麥克雞塊,,104.4克,287.1
丹丹漢堡 超長熱狗,,95克,301.2
丹丹漢堡 黃金鮮酥雞,,126克,255.8
丹丹漢堡 照燒豬排堡,,147.5克,416
丹丹漢堡 豬肉可樂餅,,92.1克,306.7
丹丹漢堡 廣東粥,,353.8克,435.1
丹丹漢堡 薯條,,117.5克,238.5
丹丹漢堡 麵線羹,,448.5克,444
六方燒,,37.5克,129
五月鮮桃,,100克,39
五爪蘋果,1個,,62.5
方瓜,,100克,13
牛丼,,388克,745
木瓜[番木瓜],,100克,27
木瓜：8月,1碗,,62.7
文旦：斗六,1個,,95
木瓜牛奶,,360克,163.1
牛奶布丁,,260克,320
木瓜奶昔,,318.9克,229.6
木瓜杏耳盅,,410克,200.9
牛奶海鮮火鍋,,920克,323.5
牛奶麥片,,355克,362.8
比目魚燉豆角,,524克,580
日本粥,,373.3克,309.8
水石榴,,100克,38
牛奶餅乾,,100克,408
日本對蝦,1,,
木瓜調味乳,1缶,,280
牛奶糖,,100克,416.8
木瓜燉冰糖,,411.2克,121.3
牛奶燉蛋,,175克,183.3
牛奶燕麥片,,320克,263
牛奶雞蛋布丁,1個,,105
切仔麵,,250克,645
牛肉丸子,,72克,142.7
中式三明治,,115克,233
牛肉山藥濃湯,,452.5克,190.7
牛肉水餃,1份,,350.4
牛肉包子,1個,,267
牛肉玉米餅,,150克,161.9
牛肉奶油白乾燒,,80克,196.8
牛肉生魚片,,154.9克,91.4
中老年奶粉,,100克,432
中老年奶粉,,100克,429
中老年奶粉,,100克,418
巴西豆,,100克,660
牛肉串,,33.3克,39
日式冷麵,,504.3克,852.2
牛肉卷,,120克,425.8
牛肉炒芹菜,,30克,25.4
牛肉河粉,,322.5克,279.3
牛肉炒飯,,147.5克,302.1
木耳炒鳳梨,,87克,43.3
木耳炒雞蛋,,217克,300
牛肉泡麵,1個,,306.8
日式炸豆皮,1份,,57.8
日式炸飯糰,,300克,492
日式炸豬排,,235克,366.6
日式炸豬排飯,,321克,783.3
日式脆皮,,121克,200.9
日式高湯,,60克,178.8
日式烤魷魚,,100.8克,130.1
牛肉乾,,100克,321
牛肉條,1個,,100
牛肉乾,,20克,55
牛肉乾,,100克,327
牛肉乾,,100克,342
日式魚子麵,,243克,578.3
日式涼拌苦瓜豆腐,,218.8克,253.8
牛肉蛋炒飯,,335克,582
牛肉捲餅,,70克,121.5
木耳魚頭湯,,512克,715
日式麻糬湯,,168.8克,288.7
毛竹筍,,100克,21
牛肉堡,,255克,548.8
牛肉飯,,200克,464.4
牛肉湯麵,,290克,673.9
牛百葉,,100克,70
牛舌餅,,76.2克,336.8
牛肉漬煮,,233.8克,268.8
牛肉蓋飯,,264.5克,485.4
牛肉壽喜蓋飯,,300克,287.6
牛肉壽喜燒,,96克,277.4
牛肉壽喜鍋,,498克,572.7
牛肉辣瓣醬,,100克,127
木耳蝦仁,,50克,22.3
牛肉蔬菜湯,,434克,696
牛肉潛艇堡,,290克,485.8
太妃糖,,100克,435
牛肉蕃茄蔬菜鍋,,286.7克,60
日式蕎麥麵,,345克,852.2
牛肉餡餅,,275克,668.2
牛肉燴飯,,265克,477.8
牛肉鬆,,100克,445
牛肉鬆炒伊麵,,422.3克,494.1
牛肉麵,,260克,474.5
牛肉麵,,747克,2238
牛肉麵,,110克,275
