花生油,,44.2,,1大匙
米油,,44.2,,1小匙
沙茶燒肉燴飯,420,579,1.37857142857,
和風海藻沙拉,197,63,0.319796954315,
京都稻荷豆皮飯糰,128,458,3.578125,
紅燒牛肉飯,415,477,1.14939759036,
烤雞腿油飯,346,1113,3.21676300578,
麻婆豆腐蓋飯,473,544,1.15010570825,
義式香草烤雞,94,201,2.13829787234,
新國民便當,358,680,1.89944134078,
杏鮑菇,52,21,0.403846153846,
香菇,37,14,0.378378378378,
貢丸,35,80,2.28571428571,
海龍丸,44,62,1.40909090909,
高麗菜捲,65,29,0.446153846154,
黑輪,55,96,1.74545454545,
豬血糕,96,194,2.02083333333,
雞蛋,55,76,1.38181818182,
蟹棒,45,51,1.13333333333,
長蔥豆腐味噌湯,23,45,1.95652173913,
海帶芽味噌杯湯,25,48,1.92,
零脂蘆薈優格,140,91,0.65,
酸辣湯,20,28,1.4,
奶油培根燉飯,200,379,1.895,
素蔬水餃,162,320,1.97530864198,
海鮮巧達濃湯,21,77,3.66666666667,
海鮮湯,5,13,2.6,
素鮮蔬水餃,201,281,1.39800995025,
鍋貼,166,346,2.0843373494,
麵包丁馬鈴薯濃湯,25,98,3.92,
金剛涼麵,354,564,1.59322033898,
雅方特級紅燒羊肉爐,410,210,0.512195121951,
77大波露巧克力,45,266,5.91111111111,
77大波露巧克力,45,238,5.28888888889,
77巧菲斯,13,70,5.38461538462,
77乳加巧克力,22,109,4.95454545455,
77歐維氏巧克力,45,230,5.11111111111,
7SELECT招牌鍋貼,144,355,2.46527777778,
HOUSE佛蒙特咖哩飯,148,208,1.40540540541,
?仔魚煎蛋,59,90,1.52542372881,
豬肉茴香餡餃子,1533,4710,3.07240704501,
?魚,100,135,1.35,
AD鈣奶,100,55,0.55,
AE強化蛋,,73.7,,1粒
ANDES巧克力,170,909,5.34705882353,
C多果汁,459,280,0.610021786492,
牛乳,,141.6,,1杯
火腿,,68,,1份
豆奶,,103.2,,1杯
飲料,,110.4,,1罐
智慧蛋,,71.5,,1粒
智慧蛋,,73.2,,1粒
智慧蛋,,65.4,,1粒
葵花油,,44.2,,1小匙
Dr.Milk低脂牛奶,250,117,0.468,
Extra無糖口香糖,13,40,3.07692307692,
